titre,annee,realisateur,categorie,acteur
Inception,2010-07-21,Christopher Nolan,Science Fiction,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page"
Titanic,1998-01-07,James Cameron,Romance,"Leonardo DiCaprio, Kate Winslet"
